id,tabset,tabset_title,tabset_header,tabset_order,tabset_color,tabset_visible,pageset,pageset_title,pageset_header,pageset_order,pagename,pagename_next,pagename_previous,page_title,page_title_es,page_header,page_header_es,page_order,page_type,page_template_html,page_help,page_help_es,pageset_visible,page_visible,page_availability,page_template_html_frame_all,page_template_html_frame_menu,page_template_html_frame_content,page_template_html_frame_help,tabset_title_es,tabset_header_es,report_code,page_template_html_source,page_title_pt,page_header_pt,tabset_title_pt,tabset_header_pt
200,Help,Help,Help,0,ffffff,no,Help,Help,Help,2,Menu,Help_Menu,Help_Menu,Help Menu,,Help Menu,,2,Screen,,,,no,no,paid,,,,,,,,,,,,
201,Help,Help,Help,0,ffffff,no,Help,Help,Help,2,Display,Help_Display,Help_Display,Help Display,,Help,,3,Screen,,,,no,no,paid,,,,,,,,,,,,
58,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,Introduction,,Parent_Community,Introduction,Legal y Física,Introduction,Legal y Física,0,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,Custody,,,,,,
57,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Introduction,,Custody_SafeBehaviors,Introduction,Sección de contenido,Introduction,Sección de contenido,0,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,both,,,,,,Agreeing to Agree,,,,,,
52,Evidence,Evidence,Evidence,5,2a6600,yes,Evidence,Evidence,Evidence,1,Introduction,,Agreeing_ChangeAgreements,Introduction,Sección de contenido,Introduction,Sección de contenido,4,Screen,pplanTemplateTabPlan.htm,,texto,yes,yes,both,,,,,,Parenting Together,,,,,,
362,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Disability,,,Disability,,Disability,,28,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
369,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Sex,,,Sex,,Sex,,26,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
364,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Religion,,,Religion,,Religion,,38,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
273,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,HolidayVacationRules,,,Holiday/Vacation Rules,,Holiday/Vacation Rules,,7,Screen,,,,yes,no,paid,,,,,,,,,,,,
260,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,Holidays,,,Holidays/Holy Days,,Holidays/Holy Days,,8,Screen,,,,yes,no,paid,,,,,,,,,,,,
277,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,ForgetMeNotList,,,Forget-me-not List,,Forget-me-not List,,10,Screen,,,,yes,no,both,,,,,,,,,,,,
248,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,TransportingChildren,,,Transporting Children,,Transporting Children,,11,Screen,,,,yes,no,paid,,,,,,,,,,,,
261,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,Homework,,,Homework,,Homework,,12,Screen,,,,yes,no,paid,,,,,,,,,,,,
275,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,SupervisedVisits,,,Supervised Visits,,Supervised Visits,,13,Screen,Supervised Visits,,,yes,no,paid,,,,,,,,,,,,
205,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,RegularVisits,,,Weekly Schedule,Parenting Time,Weekly Schedule,Parenting Time,14,Screen,,CAL,,yes,no,paid,,,,,,Parenting Calendar,CAL,,,,,
206,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,ScheduledVisits,,,Special Occasions,Scheduled Visits,Special Occasions,Scheduled Visits,15,Screen,,CAL,,yes,no,paid,,,,,,Parenting Calendar,CAL,,,,,
102,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,MonthCalendar,Report_Introduction,,View Calendar,,View Calendar,,17,Screen,pplanTemplateTabCalendar.htm,CAL,,yes,no,paid,,,,,,Parenting Calendar,CAL,,,,,
101,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,Introduction,,Plan_CommunityContacts,Introduction,,Introduction,,0,Screen,pplanTemplateTabCalendar.htm,,,yes,no,both,,,,,,Parenting Calendar,,,,,,
400,Report,Reports,Reports,7,2a009f,yes,Report,Reports,Reports,1,DismissalLetterNW,,Introduction,Dismissal Letter,,Dismissal Letter,,18,Screen,pplanTemplateAcceptRejectLetter.htm,,,yes,yes,paid,,,,,,,,,,,,
378,Evidence,Evidence,Evidence,5,2a6600,yes,Evidence,Evidence,Evidence,1,PriorComplaints,,,Prior Complaints,,Prior Complaints,,45,Screen,pplanTemplateTabPlan.htm,,,yes,yes,both,,,,,,,,,,,,
410,General,Case Profile,Case Profile,1,eB844e,yes,General,Case Profile,Case Profile,1,Location,,,Location,,Location,,33,Screen,pplanTemplateTabGeneral.htm,,,yes,yes,paid,,,,,,,,,,,,
320,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,6,005b9f,yes,LawOpinionsResearch,Law/Opinions/Research,Law/Opinions/Research,1,OpinionSCOTUS,,,OpinionSCOTUS,,,,16,Screen,pplanTemplateTabCalendar.htm,,,yes,yes,paid,,,,,,,,,,,,
340,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,Appraisal/Evaluation,,Introduction,Appraisal Evaluation,,Appraisal Evaluation,,4,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
341,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,AssignmentDuties,,Introduction,Assignment of Duties,,Assignment of Duties,,5,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
342,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,BenefitsCompensation,,Introduction,Benefits Compensation,,Benefits Compensation,,6,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
344,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,Discipline,,Introduction,Discipline,,Discipline,,9,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
346,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,ExamTest,,Introduction,Exam Test,,Exam Test,,10,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
348,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,JobClassification,,Introduction,Job Classification,,Job Classification,,16,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
349,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,LayoffRecall,,Introduction,Layoff Recall,,Layoff Recall,,18,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
350,Issues,Issues,Issues,3,f3d22b,yes,Issues,Issues,Issues,1,LeaveHours,,Introduction,Leave Hours,,Leave Hours,,19,Screen,pplanTemplateTabCustody.htm,,,yes,yes,both,,,,,,,,,,,,
366,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Genetic Information,,,Genetic Information,,Genetic Information,,39,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
365,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,RaceColorNatlOrigin,,,Race Color Nat'l Origin,,Race Color National Origin,,32,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
307,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Age,,,Age,,Age,,31,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
371,Bases,Bases,Bases,4,7da900,yes,Bases,Bases,Bases,1,Reprisal,,,Reprisal,,Reprisal,,25,Screen,pplanTemplateTabAgreeing.htm,,,yes,yes,paid,,,,,,,,,,,,
