id,tabset,pageset,pagename,item_type,item_order,item_text,item_text_es,item_text_long,item_text_long_es,item_alignment,item_font,item_cellspan,item_appendrule,item_help_bubble,item_help_bubble_es,item_help_parenting,item_help_parenting_es,item_help_legal,item_help_legal_es,item_help_code,item_help_code_es,question_group,question_field,q_label_location,q_text_location,q_text_style,q_option_location,q_option_layout,instance_number,q_subscript,item_rule,item_script,item_text_pt,item_text_long_pt
4090,,Login,AgreementNames,DoLoop,2,"( ii = 1 , [[field Custody_numberOfAgreements ""1""]] )",,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4091,,Login,AgreementNames,Question,3,,,,,left,Normal,1,end row,,,,,,,,,Custody,AgreementName,top,top,Normal,left,vertical,ii,,,,,
2400,General,General,Status,Question,5,,,,,left,Normal,1,end row,,,,,,,,,General,court,right_flush,top,Normal,left,vertical,0,,,,,
2403,General,General,Status,Question,8,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,legalInfo,right_flush,top,Normal,left,vertical,0,,,,,
2404,General,General,Status,Question,9,,,,,left,Normal,1,next cell,,,,,,,,,ChildData,appearance,right_flush,top,Normal,left,vertical,0,,,,,
3555,General,General,CustodyAgreements,DoLoop,12,"( ii = 1 , [[field Custody_numberOfAgreements ""1""]] )",,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4092,,Login,AgreementNames,ChildrenForPlan,4,,,,,left,Normal,4,end row,,,,,,,,,,,,,,,,ii,,,,,
4093,,Login,AgreementNames,SeparatorLine,5,SeparatorLine,,,,left,Normal,4,end row,,,,,,,,,,,,,,,,,,,,,
4094,,Login,AgreementNames,EndDo,6,,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
1,Login,Login,Login,Question,1,,,,,,question Group Question Text,,,,,,,,,,,General,LoginID,,,,,,,,,,,
4332,General,General,Acknowledgements,Text,7,Language Experts,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
4096,,Login,AgreementNames,ButtonSubmit,7,    Next    ,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4333,General,General,Acknowledgements,LongText,8,,,<b>Linguists and Editors</b>\nEmerald Light &#151; Rhetoritician and Senior Editor\n\n<b>Translation</b>\nIleana Pacheco &#151; Spanish Translator,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4334,General,General,Acknowledgements,SeparatorLine,9,SeparatorLine,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4335,General,General,Acknowledgements,Text,10,Technical Experts,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
4326,General,General,Acknowledgements,Text,1,Supporters,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
5429,LawOpinionsResearch,LawOpinionsResearch,Holidays,Text,48,Jewish Holy Days,,,,left,header,1,end row,,,,,,,,,,,,,,,,,,,,,
2258,General,General,EnglishSpanish,ButtonSubmit,3,change/cambiar,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4099,,Login,YouAreReady,ButtonSubmit,4,    Next    ,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4512,,General,ReportsToDo,Question,12,,,,,left,Normal,1,end row,,,,,,,,,Show,Custody_SharingInfo,left_aligned,top,Normal,right,horizontal,0,,,,,
4098,,Login,YouAreReady,LongText,3,,,"You have chosen the KidsFirst! reports to create so you will be shown only those questions that are needed to create those reports.\n\nOnce all questions are answered, go to the Reports Tab to view and print your reports.\n",,left,body,1,end row,,,,,,,,,,,,,,,,,,,,,
4100,,Login,YouAreReady,Text,2,"<p class=""questionGroupIntroText"" style=""text-align: center"">\n<img border=""0"" src=""../images/interface_thumbnail.jpg"" width=""298"" height=""186""></p>",,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
4539,,General,ReportsToDo,Question,9,,,,,left,Normal,1,end row,,,,,,,,,Show,Parent_PhysicalHealth,left_aligned,top,Normal,right,horizontal,0,,,,,
2447,General,General,Status,Question,68,,,,,left,Normal,1,end row,,,,,,,,,Plan,sexualityLifestyles,right_flush,top,question List Header,left,horizontal_2,,,,,,
2260,General,General,EnglishSpanish,Text,2,<br><br>,,,,left,Normal,1,end row,,,,,,,,,,,,,,,,,,,,,
2452,General,General,FamilyNames,Question,2,,,,,left,Normal,1,end row,,,,,,,,,Marriage,NumberOfChildren,top,top,Normal,left,vertical,0,,,,,
