id,question_order,instance_name,question_group,question_field,question_label,question_label_es,question_label_short,question_label_short_es,question_text,question_text_es,question_inputtype,question_width,question_datatype,question_options,question_default_value,question_rule,updatestamp,question_label_link,question_help_bubble,question_help_bubble_es,question_help_parenting,question_help_parenting_es,question_help_legal,question_help_legal_es,question_help_code,question_help_code_es,is_favorite,data_array,data_array_counter,question_help_topic,question_label_pt,question_label_short_pt,question_text_pt,question_help_bubble_pt,question_help_parenting_pt,question_help_legal_pt,question_help_code_pt,question_help_topic_es,question_help_topic_pt
113,16,Parent,ParentMedical,MentalRelease,Release on file,Dar de alta,Release on file,Dar de alta,,,select,0,text,no|yes,,,2004-02-14 14:14:44,,,,,,,,,,,,,,,,,,,,,,
114,17,Parent,ParentMedical,MentalReleasePhone,Phone,Teléfono,Phone,TelÃ©fono,,,text,0,text,,,,2004-02-14 14:15:31,,,,,,,,,,,,,,,,,,,,,,
703,55,Child,ChildSchool,childcareAddress2,City,,City,,,,text,20,text,,,,2004-06-19 10:45:22,,,,,,,,,,,,,,,,,,,,,,
1517,18,(none),CustomerInformation,zip,Zip code,,,,,,text,0,text,,,,1925-03-07 19:09:52,,Add your zip code.,,,,,,,,,0,,,,,,,,,,,
1582,21,(none),CustomerInformation,county_select,County,,,,,,select,20,text,,,,1925-03-22 18:35:26,,Choose a state first for a list of counties,,,,,,,,,0,,,,,,,,,,,
1513,3,(none),CustomerInformation,address1,Address 1,,,,,,text,0,text,,,,1925-03-07 19:04:31,,Add your address.,,,,,,,,,0,,,,,,,,,,,
1514,22,(none),CustomerInformation,address2,Address 2,,,,,,text,0,text,,,,1925-03-07 19:06:11,,Add any additional address information.,,,,,,,,,0,,,,,,,,,,,
1657,3,Child,EmergencyReport,firstResponder,Emergency List,,,,,,checkbox,0,text,,,,1925-06-03 10:20:19,,,,,,,,,,,1,,,,,,,,,,,
2413,23,Custody,Agreeing,alienationAttemptProofP1,What proof do you have of the attempted alienation by [[field Parent_FirstName(2)]]?,,Alienation proof,,,,multicheck,0,text,,,,1927-06-17 14:17:04,,,,"Oftentimes the alienating parent will pretend that she approves of the other parent connecting with the child, while sabotages behind the scenes by telling the child not to connect with the other parent. Claims include the other parent is morally unfit or abusive but are really highly exaggerated twists of the truth based upon minor differences in parenting styles. \n\nThe claims become true when the other parent feels shut off from the child and the upset about this is shown as proof of the claim. To counter the claims of bad parent, the child must experience positive times with the other parent and be continually reminded of those times.\n",,,,,,,0,,,,,,,,,,,
836,29,Child,ChildSchool,performanceChangeReason,"If there was a decrease in [[field ChildData_FirstName]]'s school performance, explain why:",,Performance decrease reason,,,,multicheck,10,text,,,,2004-08-13 18:43:44,,,,,,,,,,,0,,,,,,,,,,,
