id,auto_group,auto_order,option_name,option_label,option_label_es,option_value,option_text,option_label_pt,option_text_pt,option_text_es,option_datatype,option_label_link,option_textdata_size,option_textdata_type,option_show_label
370,Religions,31,Nonreligious_Secular,Nonreligious/Secular ,,Nonreligious_Secular,,,,,,,,,
371,Religions,32,Scientology,Scientology ,,Scientology,,,,,,,,,
372,Religions,33,Sikhism,Sikhism ,,Sikhism,,,,,,,,,
373,Religions,34,Spiritualist,Spiritualist ,,Spiritualist,,,,,,,,,
374,Religions,35,Taoist,Taoist ,,Taoist,,,,,,,,,
375,Religions,36,UnitarianUniversalist,Unitarian Universalist ,,UnitarianUniversalist,,,,,,,,,
376,Religions,37,Wiccan_Pagan_Druid,Wiccan/Pagan/Druid ,,Wiccan_Pagan_Druid,,,,,,,,,
377,Religions,38,Other,Other,,Other,,,,,,,,,
290,statesAbbrev,2,AK,AK,,AK,,,,,,,,,
291,statesAbbrev,3,AZ,AZ,,AZ,,,,,,,,,
292,statesAbbrev,4,AR,AR,,AR,,,,,,,,,
293,statesAbbrev,5,CA,CA,,CA,,,,,,,,,
294,statesAbbrev,6,CO,CO,,CO,,,,,,,,,
295,statesAbbrev,7,CT,CT,,CT,,,,,,,,,
296,statesAbbrev,8,DE,DE,,DE,,,,,,,,,
297,statesAbbrev,9,FL,FL,,FL,,,,,,,,,
298,statesAbbrev,10,GA,GA,,GA,,,,,,,,,
299,statesAbbrev,11,HI,HI,,HI,,,,,,,,,
300,statesAbbrev,12,ID,ID,,ID,,,,,,,,,
301,statesAbbrev,13,IL,IL,,IL,,,,,,,,,
302,statesAbbrev,14,IN,IN,,IN,,,,,,,,,
303,statesAbbrev,15,IA,IA,,IA,,,,,,,,,
304,statesAbbrev,16,KS,KS,,KS,,,,,,,,,
305,statesAbbrev,17,KY,KY,,KY,,,,,,,,,
306,statesAbbrev,18,LA,LA,,LA,,,,,,,,,
307,statesAbbrev,19,ME,ME,,ME,,,,,,,,,
308,statesAbbrev,20,ME,ME,,ME,,,,,,,,,
309,statesAbbrev,21,MA,MA,,MA,,,,,,,,,
310,statesAbbrev,22,MI,MI,,MI,,,,,,,,,
311,statesAbbrev,23,MN,MN,,MN,,,,,,,,,
312,statesAbbrev,24,MS,MS,,MS,,,,,,,,,
313,statesAbbrev,25,MO,MO,,MO,,,,,,,,,
314,statesAbbrev,26,MT,MT,,MT,,,,,,,,,
315,statesAbbrev,27,NE,NE,,NE,,,,,,,,,
316,statesAbbrev,28,NV,NV,,NV,,,,,,,,,
317,statesAbbrev,29,NH,NH,,NH,,,,,,,,,
318,statesAbbrev,30,NJ,NJ,,NJ,,,,,,,,,
319,statesAbbrev,31,NM,NM,,NM,,,,,,,,,
320,statesAbbrev,32,NY,NY,,NY,,,,,,,,,
321,statesAbbrev,33,NC,NC,,NC,,,,,,,,,
322,statesAbbrev,34,ND,ND,,ND,,,,,,,,,
323,statesAbbrev,35,OH,OH,,OH,,,,,,,,,
324,statesAbbrev,36,OK,OK,,OK,,,,,,,,,
325,statesAbbrev,37,OR,OR,,OR,,,,,,,,,
326,statesAbbrev,38,PA,PA,,PA,,,,,,,,,
327,statesAbbrev,39,RI,RI,,RI,,,,,,,,,
328,statesAbbrev,40,SC,SC,,SC,,,,,,,,,
329,statesAbbrev,41,SD,SD,,SD,,,,,,,,,
330,statesAbbrev,42,TN,TN,,TN,,,,,,,,,
331,statesAbbrev,43,TX,TX,,TX,,,,,,,,,
332,statesAbbrev,44,UT,UT,,UT,,,,,,,,,
333,statesAbbrev,45,VT,VT,,VT,,,,,,,,,
334,statesAbbrev,46,VA,VA,,VA,,,,,,,,,
335,statesAbbrev,47,WA,WA,,WA,,,,,,,,,
336,statesAbbrev,48,DC,DC,,DC,,,,,,,,,
337,statesAbbrev,49,WV,WV,,WV,,,,,,,,,
338,statesAbbrev,50,WI,WI,,WI,,,,,,,,,
339,statesAbbrev,51,WY,WY,,WY,,,,,,,,,
340,Religions,1,Agnostic,Agnostic ,,Agnostic,,,,,,,,,
341,Religions,2,Atheist,Atheist ,,Atheist,,,,,,,,,
342,Religions,3,Baha'i,Baha'i ,,Baha'i,,,,,,,,,
343,Religions,4,Buddhism,Buddhism ,,Buddhism,,,,,,,,,
344,Religions,5,Christian_Anglican,Christian - Anglican ,,Christian_Anglican,,,,,,,,,
345,Religions,6,Christian_AssembliesofGod,Christian - Assemblies of God ,,Christian_AssembliesofGod,,,,,,,,,
346,Religions,7,Christian_Baptist,Christian - Baptist ,,Christian_Baptist,,,,,,,,,
347,Religions,8,Christian_Catholic,Christian - Catholic ,,Christian_Catholic,,,,,,,,,
348,Religions,9,Christian_Charismatic,Christian - Charismatic ,,Christian_Charismatic,,,,,,,,,
349,Religions,10,Christian_ChurchesofChrist,Christian - Churches of Christ ,,Christian_ChurchesofChrist,,,,,,,,,
350,Religions,11,Christian_Congregational,Christian - Congregational,,Christian_Congregational,,,,,,,,,
351,Religions,12,Christian_Episcopalian,Christian - Episcopalian,,Christian_Episcopalian,,,,,,,,,
352,Religions,13,Christian_Jehovah'sWitnesses,Christian - Jehovah's Witnesses ,,Christian_Jehovah'sWitnesses,,,,,,,,,
353,Religions,14,Christian_Judaism,Christian - Judaism ,,Christian_Judaism,,,,,,,,,
354,Religions,15,Christian_Latter_daySaints_Mormon,Christian - Latter-day Saints/Mormon ,,Christian_Latter_daySaints_Mormon,,,,,,,,,
355,Religions,16,Christian_Lutheran,Christian - Lutheran ,,Christian_Lutheran,,,,,,,,,
356,Religions,17,Christian_Methodist,Christian - Methodist ,,Christian_Methodist,,,,,,,,,
357,Religions,18,Christian_Other,Christian - Other,,Christian_Other,,,,,,,,,
358,Religions,19,Christian_Pentecostal,Christian - Pentecostal,,Christian_Pentecostal,,,,,,,,,
359,Religions,20,Christian_Presbyterian,Christian - Presbyterian ,,Christian_Presbyterian,,,,,,,,,
360,Religions,21,Christian_UnitedChurchofChrist,Christian - United Church of Christ ,,Christian_UnitedChurchofChrist,,,,,,,,,
361,Religions,22,Christian_Wesleyan,Christian - Wesleyan ,,Christian_Wesleyan,,,,,,,,,
362,Religions,23,Deist,Deist ,,Deist,,,,,,,,,
363,Religions,24,Eckankar,Eckankar,,Eckankar,,,,,,,,,
364,Religions,25,Hinduism,Hinduism ,,Hinduism,,,,,,,,,
365,Religions,26,Humanist,Humanist ,,Humanist,,,,,,,,,
366,Religions,27,Islam,Islam ,,Islam,,,,,,,,,
367,Religions,28,Judaism,Judaism ,,Judaism,,,,,,,,,
