id,question_id,question_field,option_order,option_name,option_label,option_label_es,option_text,option_text_es,option_value,option_datatype,option_textdata_size,option_textdata_type,option_label_link,option_help_bubble,option_help_bubble_es,option_help_parenting,option_help_parenting_es,option_help_legal,option_help_legal_es,option_help_code,option_help_code_es,option_label_pt,option_text_pt,option_show_label
10843,2528,dup_holidayLabor,2,alternate,alternate,,,,alternate,,0,text,,,,,,,,,,,,
10844,2528,dup_holidayLabor,1,[[field [[field Parent_FirstName (2) ]]]],[[field [[field Parent_FirstName (2) ]],,,,[[field [[field Parent_FirstName (2) ]]]],,0,text,,,,,,,,,,,,
10978,2577,dup_attorneyHired,2,IHaveAnAttorney,I have an attorney,,,,IHaveAnAttorney,,0,text,,,,,,,,,,,,
10825,2521,holidayNewYearEve,2,alternate,alternate,,,,alternate,,0,text,,,,,,,,,,,,
11021,1389,legalSeparation,2,neither,neither,,,,neither,,0,text,,,,,,,,,,,,
11016,2587,earlyChange,1,verbalPermissionIsNotUnreasonablyWithheld,verbal permission is not unreasonably withheld,,,,verbalPermissionIsNotUnreasonablyWithheld,,0,text,,,,,,,,,,,,
12386,2664,clothingWinter,18,sweatpants,sweatpants,,,,sweatpants,,0,text,,,,,,,,,,,,
10758,2512,educationLevel,4,Bachelors,Bachelor's,,,,Bachelors,,0,text,,,,,,,,,,,,
10759,2512,educationLevel,5,someGradSchool,some Grad School,,,,someGradSchool,,0,text,,,,,,,,,,,,
10760,2512,educationLevel,6,Masters,Masters,,,,Masters,,0,text,,,,,,,,,,,,
10761,2512,educationLevel,7,PhD,PhD,,,,PhD,,0,text,,,,,,,,,,,,
11179,2628,parentOtherMarriages,0,0,0,,,,0,,0,text,,,,,,,,,,,,
10762,2512,educationLevel,3,Associates,Associates,,,,Associates,,0,text,,,,,,,,,,,,
10763,2513,dup_educationLevel,0,gradeSchool,grade school,,,,gradeSchool,,0,text,,,,,,,,,,,,
10764,2513,dup_educationLevel,1,highSchool,high school,,,,highSchool,,0,text,,,,,,,,,,,,
10765,2513,dup_educationLevel,2,someCollege,some college,,,,someCollege,,0,text,,,,,,,,,,,,
10766,2513,dup_educationLevel,4,Bachelors,Bachelor's,,,,Bachelors,,0,text,,,,,,,,,,,,
10769,2513,dup_educationLevel,7,PhD,PhD,,,,PhD,,0,text,,,,,,,,,,,,
10770,2513,dup_educationLevel,3,Associates,Associates,,,,Associates,,0,text,,,,,,,,,,,,
10771,2514,dup_educationLevelP1,0,gradeSchool,grade school,,,,gradeSchool,,0,text,,,,,,,,,,,,
10772,2514,dup_educationLevelP1,1,highSchool,high school,,,,highSchool,,0,text,,,,,,,,,,,,
10773,2514,dup_educationLevelP1,2,someCollege,some college,,,,someCollege,,0,text,,,,,,,,,,,,
10774,2514,dup_educationLevelP1,4,Bachelors,Bachelor's,,,,Bachelors,,0,text,,,,,,,,,,,,
10777,2514,dup_educationLevelP1,7,PhD,PhD,,,,PhD,,0,text,,,,,,,,,,,,
10788,2516,dup_educationLevelP1,1,highSchool,high school,,,,highSchool,,0,text,,,,,,,,,,,,
10789,2516,dup_educationLevelP1,2,someCollege,some college,,,,someCollege,,0,text,,,,,,,,,,,,
10790,2516,dup_educationLevelP1,4,Bachelors,Bachelor's,,,,Bachelors,,0,text,,,,,,,,,,,,
10791,2516,dup_educationLevelP1,5,someGradSchool,some Grad School,,,,someGradSchool,,0,text,,,,,,,,,,,,
10792,2516,dup_educationLevelP1,6,Masters,Masters,,,,Masters,,0,text,,,,,,,,,,,,
10793,2516,dup_educationLevelP1,7,PhD,PhD,,,,PhD,,0,text,,,,,,,,,,,,
10794,2516,dup_educationLevelP1,3,Associates,Associates,,,,Associates,,0,text,,,,,,,,,,,,
10795,2517,dup_incomeP1,2,over1000,"over $1,000",,,,over1000,,0,text,,,,,,,,,,,,
10796,2517,dup_incomeP1,1,lessThan500,less than $500,,,,lessThan500,,0,text,,,,,,,,,,,,
10797,2517,dup_incomeP1,7,over3500,"over $3,500",,,,over3500,,0,text,,,,,,,,,,,,
10798,2517,dup_incomeP1,8,over4000,"over $4,000",,,,over4000,,0,text,,,,,,,,,,,,
10799,2517,dup_incomeP1,9,over4500,"over $4,500",,,,over4500,,0,text,,,,,,,,,,,,
10800,2517,dup_incomeP1,10,over5000,"over $5,000",,,,over5000,,0,text,,,,,,,,,,,,
10801,2517,dup_incomeP1,3,over1500,"over $1,500",,,,over1500,,0,text,,,,,,,,,,,,
10802,2517,dup_incomeP1,4,over2000,"over $2,000",,,,over2000,,0,text,,,,,,,,,,,,
10803,2517,dup_incomeP1,5,over2500,"over $2,500",,,,over2500,,0,text,,,,,,,,,,,,
10804,2517,dup_incomeP1,6,over3000,"over $3,000",,,,over3000,,0,text,,,,,,,,,,,,
10805,2518,dup_incomeP1,2,over1000,"over $1,000",,,,over1000,,0,text,,,,,,,,,,,,
10806,2518,dup_incomeP1,1,lessThan500,less than $500,,,,lessThan500,,0,text,,,,,,,,,,,,
10807,2518,dup_incomeP1,7,over3500,"over $3,500",,,,over3500,,0,text,,,,,,,,,,,,
10808,2518,dup_incomeP1,8,over4000,"over $4,000",,,,over4000,,0,text,,,,,,,,,,,,
10809,2518,dup_incomeP1,9,over4500,"over $4,500",,,,over4500,,0,text,,,,,,,,,,,,
10810,2518,dup_incomeP1,10,over5000,"over $5,000",,,,over5000,,0,text,,,,,,,,,,,,
10811,2518,dup_incomeP1,3,over1500,"over $1,500",,,,over1500,,0,text,,,,,,,,,,,,
10812,2518,dup_incomeP1,4,over2000,"over $2,000",,,,over2000,,0,text,,,,,,,,,,,,
10813,2518,dup_incomeP1,5,over2500,"over $2,500",,,,over2500,,0,text,,,,,,,,,,,,
10814,2518,dup_incomeP1,6,over3000,"over $3,000",,,,over3000,,0,text,,,,,,,,,,,,
10878,2540,dup_holidayHanukka,0,[[field [[field Parent_FirstName (1) ]]]],[[field [[field Parent_FirstName (1) ]],,,,[[field [[field Parent_FirstName (1) ]]]],,0,text,,,,,,,,,,,,
10879,2540,dup_holidayHanukka,2,alternate,alternate,,,,alternate,,0,text,,,,,,,,,,,,
10826,2522,holidayNewYearDay,2,alternate,alternate,,,,alternate,,0,text,,,,,,,,,,,,
10827,2523,dup_holidayNewYearDay,1,[[field [[field Parent_FirstName (2) ]]]],[[field [[field Parent_FirstName (2) ]],,,,[[field [[field Parent_FirstName (2) ]]]],,0,text,,,,,,,,,,,,
10828,2523,dup_holidayNewYearDay,0,[[field [[field Parent_FirstName (1) ]]]],[[field [[field Parent_FirstName (1) ]],,,,[[field [[field Parent_FirstName (1) ]]]],,0,text,,,,,,,,,,,,
10829,2523,dup_holidayNewYearDay,2,alternate,alternate,,,,alternate,,0,text,,,,,,,,,,,,
